id_1,aperture_sum_1,annulus_median_1,aper_bkg_1,aper_err_1,aper_bkg_err_1,signal_1,noise_1,ra_1,dec_1,e_H,Hmag,id_2,aperture_sum_2,annulus_median_2,aper_bkg_2,aper_err_2,aper_bkg_err_2,signal_2,noise_2,ra_2,dec_2,e_j,Jmag,Separation_1,id,aperture_sum,annulus_median,aper_bkg,aper_err,aper_bkg_err,signal,noise,ra,dec,e_K,Kmag,Separation
11,32520.0,79.14,8950.0,180.3,164.6,23570.0,244.2,36.827754326803095,61.88867493242599,0.01036,16.26,6,6007.0,14.75,2271.0,77.51,93.27,3737.0,121.3,36.82788366235251,61.88866654057099,0.03245,18.14,0.2214584004858438,1,13780.0,-13.04,-1475.0,117.4,69.56,15250.0,136.4,36.827607179616706,61.888816228752,0.008945,15.28,0.5666060969040401
17,79040.0,82.62,9345.0,281.1,96.0,69690.0,297.1,36.827155774490755,61.85715946294067,0.004263,15.08,7,16660.0,18.4,2833.0,129.1,66.47,13830.0,145.2,36.82729804997988,61.85715752712319,0.0105,16.72,0.24168666749515835,2,35560.0,-15.31,-1731.0,188.6,60.14,37290.0,197.9,36.82718789690795,61.85726061500798,0.005308,14.31,0.3682097796304119
28,114400.0,88.9,10050.0,338.2,101.1,104300.0,353.0,36.82670705583666,61.88490352625471,0.003383,14.64,9,13320.0,18.81,2895.0,115.4,81.6,10420.0,141.3,36.82684527032154,61.88490066263214,0.01356,17.02,0.23470455745206226,4,113600.0,-3.511,-397.1,337.0,70.06,114000.0,344.2,36.82658612183208,61.885042179609066,0.00302,13.1,0.5396703364531055
34,86540.0,83.78,9476.0,294.2,131.4,77060.0,322.2,36.826625134123994,61.896845188782336,0.004181,14.97,10,39420.0,19.99,3077.0,198.5,96.99,36340.0,221.0,36.82677564447052,61.89684295367559,0.006081,15.67,0.25536490773944226,5,24730.0,-13.36,-1511.0,157.2,80.44,26240.0,176.6,36.826438833772684,61.897002424379316,0.006732,14.69,0.6482458300452482
44,15150.0,77.55,8770.0,123.1,90.25,6381.0,152.6,36.82621698125302,61.866817089571214,0.02392,17.68,11,3962.0,15.9,2448.0,62.94,65.01,1514.0,90.49,36.82634879086108,61.86681167693186,0.05977,19.12,0.22459128982167878,6,1502.0,-16.85,-1906.0,38.75,63.64,3407.0,74.51,36.82620844951447,61.86693218220845,0.02187,16.91,0.4145865234735259
47,13820.0,76.45,8647.0,117.5,126.8,5168.0,172.9,36.82544681784704,61.845215877545414,0.03345,17.91,12,4215.0,15.79,2431.0,64.92,95.85,1784.0,115.8,36.8255779349471,61.845207345243004,0.06489,18.94,0.22483389948121335,7,454.1,-20.23,-2288.0,21.31,81.52,2742.0,84.26,36.82553964666019,61.8452902291743,0.03072,17.14,0.31066046558909477
49,93910.0,82.94,9381.0,306.5,113.4,84530.0,326.8,36.82534164291655,61.8467670464757,0.003865,14.87,13,19770.0,17.48,2691.0,140.6,72.16,17080.0,158.1,36.825470834331725,61.84675701146498,0.009253,16.49,0.2223973629118909,8,43930.0,-15.21,-1720.0,209.6,64.75,45650.0,219.4,36.82543413624068,61.846843332003054,0.004805,14.09,0.31639135871024665
50,24330.0,78.58,8887.0,156.0,94.21,15440.0,182.2,36.82510927618622,61.856821189913795,0.0118,16.72,14,7206.0,18.91,2910.0,84.89,66.07,4295.0,107.6,36.825240005770716,61.85682026103047,0.02504,17.99,0.22200866497515603,9,5921.0,-17.64,-1995.0,76.95,54.24,7916.0,94.14,36.82514627313142,61.856916420748774,0.01189,15.99,0.34853938934190715
54,38590.0,76.77,8683.0,196.4,83.36,29900.0,213.4,36.82489186254732,61.85950646173381,0.007136,16.0,15,15050.0,18.17,2797.0,122.7,61.56,12250.0,137.3,36.8250277274782,61.8595044211473,0.0112,16.85,0.2308002097589523,10,8144.0,-16.86,-1907.0,90.24,55.97,10050.0,106.2,36.8249105817691,61.85960603919328,0.01057,15.73,0.3598850540850211
58,28810.0,80.32,9084.0,169.7,90.47,19720.0,192.3,36.824100661098164,61.8869628967584,0.009751,16.45,16,5571.0,17.35,2671.0,74.64,70.3,2900.0,102.5,36.824235989926144,61.88694786008767,0.03535,18.41,0.2358630285809069,11,11790.0,-15.05,-1702.0,108.6,57.92,13490.0,123.0,36.82396481677281,61.88709926238011,0.009123,15.42,0.5423115786764836
